Sex,Age,Height,Weight,NOC,Category
0,30.0,170.0,60.0,216,fencing
1,32.0,180.0,72.0,187,team_sports - curling
1,28.0,177.0,85.0,104,team_sports - rugby_sevens
1,20.0,180.0,81.0,50,judo - middle_classes_mixed
0,17.0,167.0,45.0,61,artistic_aesthetic_judged - rhythmic_gymnastics
1,22.0,188.0,84.0,88,watercraft_racing - canoeing_kayaking
1,21.0,182.0,81.0,12,Uncategorized
0,22.0,186.0,88.0,210,team_sports - handball
1,24.0,180.0,86.0,168,team_sports - ice_hockey
1,22.0,177.0,70.0,77,endurance_stamina - cross_country_skiing
1,19.0,190.0,73.0,100,athletics_technical - jumps_and_vault
0,22.0,160.0,63.0,145,athletics_technical - jumps_and_vault
0,22.0,163.0,57.0,107,precision_marksmanship - shooting
0,17.0,166.0,55.0,88,artistic_aesthetic_judged - gymnastics
1,23.0,185.0,79.0,211,team_sports - basketball
1,25.0,169.0,69.0,194,team_sports - football
1,26.0,184.0,84.0,68,team_sports - handball
1,19.0,165.0,59.0,149,boxing - lighter_classes_speed
0,15.0,160.0,53.0,212,sprint_classes - swimming
1,36.0,185.0,77.0,90,racket_net_sports - tennis
1,21.0,192.0,98.0,49,team_sports - water_polo
1,21.0,189.0,84.0,31,watercraft_racing - rowing
1,31.0,183.0,97.0,213,wrestling - heavy_classes_power
0,25.0,170.0,68.0,67,strength_power_throws
1,24.0,168.0,58.0,183,sprint_classes - athletics
1,22.0,165.0,54.0,98,weightlifting - light_classes
1,24.0,188.0,77.0,212,athletics_technical - jumps_and_vault
1,25.0,186.0,130.0,40,wrestling - heavy_classes_power
1,22.0,195.0,109.0,212,strength_power_throws
1,24.0,178.0,68.0,116,Uncategorized
1,22.0,194.0,91.0,68,watercraft_racing - rowing
1,27.0,176.0,66.0,187,endurance_stamina - speed_skating
0,25.0,179.0,59.0,67,endurance_stamina - road_cycling
1,25.0,178.0,67.0,52,sprint_classes - athletics
0,18.0,171.0,56.0,77,artistic_aesthetic_judged - rhythmic_gymnastics
1,49.0,190.0,95.0,212,watercraft_racing - sailing
1,20.0,176.0,65.0,102,precision_marksmanship - shooting
1,22.0,176.0,74.0,142,team_sports - hockey
1,22.0,180.0,85.0,52,precision_marksmanship - shooting
1,21.0,188.0,109.0,212,strength_power_throws
0,20.0,166.0,54.0,68,team_sports - hockey
1,23.0,183.0,80.0,120,endurance_stamina - road_cycling
1,24.0,179.0,85.0,31,watercraft_racing - canoeing_kayaking
1,25.0,183.0,79.0,40,sprint_classes - speed_skating
1,25.0,175.0,73.0,197,judo - middle_classes_mixed
1,26.0,187.0,78.0,159,athletics_technical - hurdles_steeplechase
1,21.0,172.0,79.0,177,sprint_classes - athletics
1,24.0,178.0,71.0,66,athletics_technical - jumps_and_vault
0,23.0,169.0,77.0,168,precision_marksmanship - archery
0,17.0,169.0,53.0,28,artistic_aesthetic_judged - rhythmic_gymnastics
1,32.0,186.0,82.0,159,multi_discipline_combined
1,28.0,178.0,62.0,72,endurance_stamina - running
1,27.0,183.0,81.0,223,team_sports - football
1,30.0,192.0,104.0,53,team_sports - handball
1,23.0,180.0,73.0,187,equestrian
1,27.0,170.0,55.0,166,endurance_stamina - running
1,28.0,181.0,61.0,39,athletics_technical - jumps_and_vault
1,19.0,176.0,75.0,31,winter_sliding_alpine - alpine_skiing
1,18.0,183.0,80.0,212,fencing
0,29.0,172.0,86.0,31,strength_power_throws
1,27.0,162.0,55.0,102,wrestling - lighter_classes_speed
1,28.0,179.0,76.0,210,sprint_classes - athletics
1,20.0,181.0,60.0,147,winter_sliding_alpine - ski_jumping
0,27.0,177.0,68.0,142,team_sports - handball
1,24.0,164.0,70.0,40,weightlifting - light_classes
1,20.0,185.0,87.0,25,team_sports - ice_hockey
0,30.0,176.0,68.0,72,racket_net_sports - badminton
1,23.0,182.0,63.0,206,team_sports - football
1,18.0,172.0,67.0,43,endurance_stamina - road_cycling
1,24.0,185.0,80.0,72,sprint_classes - swimming
0,26.0,164.0,48.0,104,athletics_technical - hurdles_steeplechase
1,20.0,168.0,57.0,89,sprint_classes - athletics
1,25.0,174.0,85.0,50,weightlifting - middle_classes
0,26.0,156.0,48.0,204,judo - lighter_classes_speed
0,30.0,165.0,53.0,209,endurance_stamina - running
1,23.0,168.0,74.0,78,team_sports - football
0,19.0,178.0,65.0,61,watercraft_racing - sailing
1,26.0,165.0,53.0,149,endurance_stamina - running
0,22.0,176.0,65.0,100,athletics_technical - hurdles_steeplechase
1,26.0,163.0,56.0,26,endurance_stamina - running
0,24.0,165.0,55.0,8,team_sports - hockey
1,25.0,177.0,73.0,28,Uncategorized
1,20.0,185.0,73.0,212,sprint_classes - athletics
0,26.0,174.0,74.0,13,strength_power_throws
1,19.0,188.0,78.0,25,sprint_classes - swimming
1,26.0,160.0,60.0,88,wrestling - lighter_classes_speed
1,33.0,183.0,93.0,28,team_sports - handball
1,21.0,188.0,138.0,107,weightlifting - heavy_classes
0,20.0,167.0,62.0,159,sprint_classes - athletics
1,23.0,172.0,63.0,210,endurance_stamina - running
1,21.0,173.0,64.0,212,artistic_aesthetic_judged - gymnastics
0,22.0,169.0,58.0,40,endurance_stamina - cross_country_skiing
0,22.0,169.0,58.0,12,sprint_classes - athletics
1,27.0,172.0,66.0,67,watercraft_racing - canoeing_kayaking
0,18.0,181.0,67.0,142,team_sports - volleyball
1,37.0,182.0,85.0,98,team_sports - baseball_softball
0,24.0,157.0,48.0,105,judo - lighter_classes_speed
1,23.0,200.0,94.0,98,team_sports - basketball
0,31.0,176.0,65.0,88,team_sports - handball
1,21.0,178.0,83.0,194,watercraft_racing - rowing
1,21.0,168.0,62.0,72,sprint_classes - athletics
0,26.0,158.0,52.0,57,endurance_stamina - running
0,17.0,175.0,63.0,35,team_sports - handball
0,26.0,162.0,50.0,35,endurance_stamina - road_cycling
1,21.0,169.0,62.0,102,Uncategorized
1,24.0,188.0,112.0,223,wrestling - heavy_classes_power
0,21.0,170.0,62.0,53,sprint_classes - swimming
1,33.0,174.0,96.0,194,precision_marksmanship - shooting
0,18.0,171.0,68.0,28,team_sports - football
1,25.0,192.0,80.0,5,team_sports - basketball
1,18.0,182.0,69.0,190,artistic_aesthetic_judged - figure_skating
1,26.0,186.0,93.0,77,team_sports - ice_hockey
1,24.0,166.0,64.0,72,artistic_aesthetic_judged - gymnastics
1,22.0,180.0,78.0,67,athletics_technical - hurdles_steeplechase
1,22.0,190.0,100.0,168,wrestling - middle_classes_mixed
1,25.0,185.0,87.0,178,winter_sliding_alpine - alpine_skiing
1,30.0,181.0,108.0,93,judo - heavy_classes_power
1,22.0,180.0,85.0,35,watercraft_racing - canoeing_kayaking
1,20.0,178.0,90.0,212,winter_sliding_alpine - luge
1,22.0,193.0,96.0,15,wrestling - middle_classes_mixed
1,24.0,170.0,74.0,138,wrestling - middle_classes_mixed
0,26.0,163.0,50.0,212,endurance_stamina - running
0,24.0,169.0,68.0,72,team_sports - football
1,22.0,175.0,77.0,135,weightlifting - middle_classes
1,23.0,186.0,85.0,77,team_sports - handball
1,25.0,195.0,96.0,68,watercraft_racing - rowing
1,37.0,168.0,68.0,162,watercraft_racing - sailing
1,29.0,168.0,59.0,61,endurance_stamina - running
1,24.0,176.0,74.0,210,team_sports - hockey
1,23.0,170.0,60.0,104,athletics_technical - jumps_and_vault
1,28.0,166.0,57.0,88,boxing - lighter_classes_speed
0,19.0,168.0,65.0,8,team_sports - football
1,34.0,156.0,76.0,103,precision_marksmanship - shooting
1,20.0,188.0,89.0,182,watercraft_racing - canoeing_kayaking
0,17.0,165.0,54.0,134,sprint_classes - swimming
1,18.0,179.0,63.0,61,endurance_stamina - running
1,19.0,176.0,57.0,167,boxing - lighter_classes_speed
1,20.0,177.0,73.0,68,watercraft_racing - canoeing_kayaking
1,25.0,127.0,62.0,125,boxing - lighter_classes_speed
1,25.0,183.0,71.0,72,fencing
0,29.0,168.0,55.0,40,team_sports - football
1,23.0,193.0,91.0,212,team_sports - volleyball
1,23.0,170.0,66.0,9,wrestling - middle_classes_mixed
0,23.0,163.0,51.0,19,endurance_stamina - running
0,27.0,171.0,58.0,190,team_sports - football
1,30.0,182.0,110.0,67,strength_power_throws
0,28.0,152.0,51.0,22,precision_marksmanship - archery
1,29.0,180.0,71.0,68,team_sports - hockey
0,26.0,167.0,49.0,166,endurance_stamina - running
0,22.0,156.0,50.0,102,team_sports - football
1,29.0,176.0,63.0,74,endurance_stamina - running
1,21.0,178.0,78.0,98,endurance_stamina - road_cycling
1,17.0,198.0,96.0,12,sprint_classes - swimming
0,21.0,160.0,48.0,72,sprint_classes - athletics
1,18.0,184.0,82.0,8,winter_sliding_alpine - alpine_skiing
1,20.0,175.0,69.0,63,endurance_stamina - road_cycling
0,19.0,170.0,59.0,67,fencing
1,23.0,179.0,75.0,66,athletics_technical - jumps_and_vault
1,29.0,173.0,63.0,187,endurance_stamina - road_cycling
1,26.0,180.0,72.0,102,watercraft_racing - rowing
0,22.0,174.0,74.0,77,team_sports - ice_hockey
1,21.0,171.0,63.0,67,endurance_stamina - road_cycling
1,26.0,174.0,70.0,68,winter_sliding_alpine - ski_jumping
1,21.0,156.0,51.0,61,boxing - lighter_classes_speed
1,22.0,170.0,56.0,187,multi_discipline_combined
0,18.0,167.0,59.0,93,sprint_classes - swimming
1,26.0,169.0,68.0,88,fencing
0,21.0,160.0,48.0,69,sprint_classes - athletics
1,26.0,186.0,77.0,163,team_sports - handball
1,27.0,170.0,64.0,31,precision_marksmanship - shooting
1,18.0,176.0,64.0,128,Uncategorized
1,21.0,183.0,70.0,8,endurance_stamina - cross_country_skiing
1,23.0,191.0,86.0,147,watercraft_racing - canoeing_kayaking
0,25.0,176.0,57.0,209,athletics_technical - jumps_and_vault
1,23.0,193.0,91.0,12,watercraft_racing - rowing
1,30.0,185.0,96.0,159,winter_sliding_alpine - bobsleigh
1,27.0,188.0,86.0,212,athletics_technical - jumps_and_vault
1,21.0,181.0,74.0,13,endurance_stamina - cross_country_skiing
0,18.0,160.0,58.0,175,sprint_classes - swimming
1,22.0,168.0,62.0,28,endurance_stamina - running
1,24.0,180.0,74.0,40,team_sports - water_polo
1,22.0,170.0,63.0,201,endurance_stamina - road_cycling
1,20.0,191.0,87.0,159,athletics_technical - jumps_and_vault
0,21.0,164.0,60.0,86,watercraft_racing - canoeing_kayaking
0,27.0,182.0,70.0,40,team_sports - basketball
0,23.0,182.0,69.0,52,watercraft_racing - canoeing_kayaking
1,26.0,178.0,80.0,67,judo - middle_classes_mixed
0,21.0,173.0,58.0,88,multi_discipline_combined
1,21.0,178.0,70.0,40,fencing
1,25.0,187.0,106.0,50,strength_power_throws
1,25.0,159.0,54.0,31,boxing - lighter_classes_speed
1,31.0,180.0,77.0,142,strength_power_throws
1,19.0,175.0,63.0,215,boxing - lighter_classes_speed
1,21.0,188.0,80.0,166,athletics_technical - jumps_and_vault
0,21.0,163.0,52.0,72,athletics_technical - hurdles_steeplechase
1,21.0,179.0,80.0,142,Uncategorized
0,25.0,175.0,63.0,72,team_sports - water_polo
1,25.0,193.0,81.0,74,team_sports - volleyball
1,26.0,165.0,57.0,107,wrestling - lighter_classes_speed
1,27.0,188.0,85.0,66,team_sports - ice_hockey
0,21.0,165.0,73.0,190,team_sports - ice_hockey
1,26.0,180.0,70.0,66,endurance_stamina - running
1,23.0,175.0,68.0,155,team_sports - basketball
1,24.0,184.0,100.0,31,wrestling - heavy_classes_power
1,25.0,178.0,78.0,77,wrestling - middle_classes_mixed
1,22.0,185.0,97.0,209,wrestling - heavy_classes_power
0,32.0,172.0,52.0,212,endurance_stamina - running
1,25.0,177.0,72.0,32,sprint_classes - swimming
1,22.0,178.0,73.0,219,sprint_classes - athletics
1,23.0,173.0,71.0,40,judo - middle_classes_mixed
1,27.0,196.0,91.0,142,watercraft_racing - rowing
1,26.0,164.0,65.0,102,endurance_stamina - biathlon
1,23.0,174.0,72.0,159,endurance_stamina - road_cycling
1,28.0,170.0,60.0,14,endurance_stamina - running
1,24.0,187.0,90.0,35,watercraft_racing - sailing
1,24.0,183.0,86.0,12,watercraft_racing - rowing
0,28.0,178.0,75.0,142,watercraft_racing - rowing
1,22.0,183.0,75.0,209,artistic_aesthetic_judged - figure_skating
1,24.0,182.0,73.0,67,team_sports - hockey
0,21.0,170.0,65.0,88,watercraft_racing - canoeing_kayaking
1,19.0,172.0,70.0,8,Uncategorized
1,21.0,169.0,63.0,102,artistic_aesthetic_judged - diving
0,22.0,166.0,56.0,190,team_sports - football
1,20.0,193.0,122.0,145,strength_power_throws
1,25.0,167.0,67.0,90,sprint_classes - athletics
1,23.0,173.0,83.0,84,weightlifting - middle_classes
1,29.0,178.0,70.0,77,sprint_classes - athletics
0,25.0,184.0,84.0,166,strength_power_throws
0,19.0,147.0,41.0,210,artistic_aesthetic_judged - gymnastics
1,25.0,198.0,114.0,212,strength_power_throws
1,23.0,183.0,93.0,212,judo - heavy_classes_power
1,25.0,179.0,60.0,196,Uncategorized
0,21.0,169.0,51.0,62,athletics_technical - jumps_and_vault
1,26.0,179.0,74.0,159,boxing - middle_classes_mixed
1,20.0,173.0,65.0,74,watercraft_racing - canoeing_kayaking
1,25.0,181.0,75.0,19,Uncategorized
0,26.0,169.0,64.0,159,racket_net_sports - table_tennis
1,21.0,188.0,75.0,159,sprint_classes - swimming
1,25.0,177.0,69.0,187,endurance_stamina - cross_country_skiing
