Sex,Age,Height,Weight,NOC,Category
1,25.0,175.0,68.0,126,endurance_stamina - road_cycling
1,32.0,187.0,94.0,154,strength_power_throws
1,34.0,183.0,77.0,212,multi_discipline_combined
0,25.0,169.0,62.0,147,team_sports - football
1,20.0,185.0,73.0,212,winter_sliding_alpine - luge
1,22.0,186.0,100.0,49,watercraft_racing - sailing
1,30.0,175.0,93.0,210,watercraft_racing - sailing
0,25.0,167.0,54.0,77,fencing
1,26.0,175.0,90.0,192,weightlifting - middle_classes
1,45.0,179.0,77.0,68,watercraft_racing - sailing
1,24.0,179.0,74.0,187,team_sports - ice_hockey
1,19.0,170.0,58.5,66,wrestling - lighter_classes_speed
1,21.0,173.0,60.0,37,boxing - lighter_classes_speed
0,23.0,176.0,62.0,168,multi_discipline_combined
1,24.0,173.0,58.0,167,endurance_stamina - road_cycling
1,20.0,166.0,65.0,128,artistic_aesthetic_judged - diving
1,25.0,175.0,70.0,98,team_sports - football
1,21.0,198.0,130.0,50,wrestling - heavy_classes_power
0,23.0,163.0,54.0,67,artistic_aesthetic_judged - synchronized_swimming
1,23.0,170.0,54.0,40,endurance_stamina - running
0,26.0,178.0,85.0,194,strength_power_throws
1,31.0,168.0,50.0,61,endurance_stamina - running
1,23.0,192.0,75.0,39,athletics_technical - hurdles_steeplechase
0,29.0,166.0,53.0,102,endurance_stamina - triathlon
1,28.0,190.0,87.0,72,endurance_stamina - running
1,24.0,167.0,59.0,31,artistic_aesthetic_judged - gymnastics
1,28.0,182.0,80.0,190,winter_sliding_alpine - bobsleigh
1,25.0,193.0,80.0,215,fencing
0,23.0,174.0,52.0,67,endurance_stamina - biathlon
1,24.0,179.0,83.0,88,artistic_aesthetic_judged - figure_skating
1,22.0,180.0,65.0,167,sprint_classes - cycling
1,26.0,175.0,73.0,72,watercraft_racing - sailing
1,21.0,172.0,65.0,67,multi_discipline_combined
1,27.0,207.0,105.0,72,watercraft_racing - rowing
1,31.0,196.0,104.0,190,team_sports - handball
0,28.0,168.0,60.0,25,endurance_stamina - cross_country_skiing
1,26.0,180.0,70.0,79,team_sports - handball
1,30.0,178.0,81.0,8,judo - middle_classes_mixed
1,20.0,195.0,87.0,210,watercraft_racing - rowing
1,31.0,176.0,69.0,187,endurance_stamina - running
1,20.0,160.0,50.0,35,boxing - lighter_classes_speed
0,22.0,168.0,58.0,45,sprint_classes - athletics
1,20.0,183.0,74.0,168,artistic_aesthetic_judged - figure_skating
1,20.0,165.0,70.0,107,weightlifting - light_classes
0,23.0,178.0,70.0,142,team_sports - water_polo
1,27.0,165.0,55.0,102,fencing
0,25.0,180.0,70.0,95,racket_net_sports - badminton
1,22.0,193.0,92.0,50,team_sports - volleyball
1,28.0,171.0,67.0,81,endurance_stamina - road_cycling
0,20.0,163.0,61.0,66,team_sports - ice_hockey
0,34.0,155.0,53.0,8,team_sports - hockey
0,24.0,176.0,71.0,35,team_sports - volleyball
0,21.0,173.0,67.0,142,team_sports - hockey
1,21.0,183.0,85.0,128,watercraft_racing - rowing
1,28.0,190.0,90.0,95,team_sports - handball
0,17.0,175.0,60.0,25,sprint_classes - swimming
1,21.0,193.0,96.0,52,watercraft_racing - rowing
1,25.0,178.0,67.0,212,endurance_stamina - running
0,25.0,184.0,74.0,166,watercraft_racing - rowing
1,23.0,171.0,60.0,160,endurance_stamina - triathlon
0,35.0,166.0,64.0,77,fencing
1,23.0,186.0,78.0,61,athletics_technical - hurdles_steeplechase
0,15.0,161.0,49.0,98,artistic_aesthetic_judged - gymnastics
1,21.0,177.0,71.0,211,watercraft_racing - rowing
1,24.0,179.0,73.0,13,multi_discipline_combined
1,19.0,188.0,71.0,167,athletics_technical - hurdles_steeplechase
1,31.0,198.0,100.0,212,team_sports - volleyball
1,24.0,174.0,66.0,147,athletics_technical - jumps_and_vault
0,17.0,161.0,50.0,98,artistic_aesthetic_judged - gymnastics
0,25.0,165.0,57.0,210,team_sports - hockey
1,29.0,168.0,57.0,66,endurance_stamina - running
1,16.0,166.0,50.0,194,Uncategorized
1,25.0,180.0,77.0,68,watercraft_racing - sailing
0,23.0,167.0,53.0,212,artistic_aesthetic_judged - figure_skating
1,30.0,187.0,98.5,66,strength_power_throws
0,24.0,164.0,52.0,61,endurance_stamina - triathlon
1,26.0,190.0,72.0,45,athletics_technical - jumps_and_vault
1,25.0,190.0,92.0,68,team_sports - ice_hockey
1,21.0,192.0,87.0,12,team_sports - volleyball
0,19.0,180.0,66.0,15,Uncategorized
0,24.0,180.0,72.0,12,watercraft_racing - rowing
1,20.0,180.0,77.0,15,sprint_classes - athletics
0,23.0,172.0,63.0,212,team_sports - water_polo
0,21.0,165.0,57.0,8,artistic_aesthetic_judged - diving
1,20.0,185.0,105.0,88,precision_marksmanship - shooting
1,20.0,192.0,100.0,75,judo - heavy_classes_power
1,28.0,168.0,56.0,212,endurance_stamina - triathlon
1,66.0,168.0,74.0,90,precision_marksmanship - shooting
1,21.0,186.0,91.0,64,team_sports - ice_hockey
1,25.0,173.0,77.0,103,weightlifting - middle_classes
1,30.0,186.0,84.0,35,team_sports - hockey
1,27.0,180.0,67.0,128,endurance_stamina - running
1,19.0,175.0,70.0,61,sprint_classes - swimming
0,17.0,177.0,69.0,194,watercraft_racing - rowing
0,25.0,170.0,61.0,168,endurance_stamina - cross_country_skiing
1,26.0,171.0,80.0,8,boxing - heavy_classes_power
0,16.0,155.0,46.0,98,artistic_aesthetic_judged - gymnastics
1,29.0,172.0,65.0,45,fencing
1,30.0,183.0,72.0,92,precision_marksmanship - shooting
1,30.0,162.0,51.0,50,boxing - lighter_classes_speed
1,26.0,170.0,65.0,98,multi_discipline_combined
0,22.0,163.0,47.0,61,artistic_aesthetic_judged - synchronized_swimming
1,20.0,180.0,99.0,77,strength_power_throws
1,24.0,183.0,100.0,28,judo - heavy_classes_power
1,30.0,173.0,67.0,12,watercraft_racing - canoeing_kayaking
1,21.0,196.0,96.0,68,watercraft_racing - rowing
1,20.0,168.0,54.0,19,endurance_stamina - running
1,29.0,179.0,82.0,210,precision_marksmanship - shooting
1,29.0,188.0,93.0,28,team_sports - handball
1,24.0,197.0,95.0,223,team_sports - basketball
1,21.0,185.0,71.0,74,athletics_technical - jumps_and_vault
1,24.0,192.0,100.0,187,wrestling - heavy_classes_power
0,28.0,168.0,56.0,12,athletics_technical - hurdles_steeplechase
1,24.0,176.0,70.0,19,team_sports - hockey
0,20.0,172.0,60.0,35,artistic_aesthetic_judged - rhythmic_gymnastics
1,24.0,168.0,68.0,96,wrestling - middle_classes_mixed
1,28.0,200.0,97.0,212,watercraft_racing - rowing
1,28.0,202.0,111.0,61,team_sports - basketball
1,20.0,180.0,86.0,223,sprint_classes - cycling
0,26.0,175.0,67.0,40,team_sports - handball
1,23.0,170.0,65.0,56,athletics_technical - hurdles_steeplechase
1,23.0,185.0,87.0,128,Uncategorized
0,24.0,179.0,70.0,53,watercraft_racing - sailing
1,21.0,164.0,67.0,31,weightlifting - light_classes
1,25.0,185.0,86.0,88,team_sports - water_polo
1,17.0,168.0,61.0,72,Uncategorized
1,28.0,188.0,73.0,142,endurance_stamina - speed_skating
1,19.0,171.0,72.0,102,winter_sliding_alpine - alpine_skiing
1,29.0,180.0,83.0,168,racket_net_sports - badminton
0,23.0,170.0,51.0,159,athletics_technical - hurdles_steeplechase
1,23.0,183.0,70.0,93,watercraft_racing - sailing
1,26.0,175.0,75.0,224,team_sports - football
1,25.0,175.0,70.0,88,team_sports - football
1,23.0,170.0,74.0,204,wrestling - middle_classes_mixed
1,28.0,177.0,81.0,107,team_sports - hockey
1,20.0,175.0,66.0,61,team_sports - basketball
1,33.0,174.0,76.0,67,precision_marksmanship - shooting
1,20.0,178.0,80.0,212,winter_sliding_alpine - alpine_skiing
1,19.0,171.0,56.0,90,team_sports - football
0,29.0,191.0,85.0,77,watercraft_racing - rowing
0,23.0,180.0,75.0,98,team_sports - volleyball
1,22.0,184.0,82.0,31,winter_sliding_alpine - luge
1,22.0,185.0,81.0,25,boxing - heavy_classes_power
0,29.0,190.0,75.0,212,team_sports - basketball
1,22.0,185.0,77.0,21,sprint_classes - swimming
0,22.0,173.0,66.0,72,equestrian
1,35.0,178.0,63.0,142,endurance_stamina - road_cycling
1,28.0,193.0,91.0,88,team_sports - water_polo
1,19.0,183.0,75.0,212,endurance_stamina - road_cycling
0,17.0,173.0,56.0,209,sprint_classes - swimming
1,20.0,162.0,57.0,166,artistic_aesthetic_judged - gymnastics
1,22.0,183.0,76.0,107,team_sports - football
0,22.0,160.0,53.0,201,strength_power_throws
1,24.0,173.0,63.0,67,artistic_aesthetic_judged - figure_skating
0,21.0,176.0,62.0,52,endurance_stamina - biathlon
1,26.0,174.0,73.0,168,judo - middle_classes_mixed
1,19.0,176.0,70.0,19,endurance_stamina - road_cycling
1,21.0,170.0,59.0,72,sprint_classes - athletics
0,23.0,165.0,52.0,31,artistic_aesthetic_judged - figure_skating
1,22.0,175.0,65.0,154,sprint_classes - athletics
0,19.0,172.0,73.0,12,watercraft_racing - rowing
0,25.0,164.0,63.0,210,watercraft_racing - canoeing_kayaking
1,20.0,181.0,71.0,89,athletics_technical - hurdles_steeplechase
0,18.0,175.0,61.0,79,sprint_classes - swimming
1,27.0,182.0,80.0,119,endurance_stamina - road_cycling
1,23.0,185.0,73.0,3,watercraft_racing - rowing
1,21.0,185.0,75.0,67,athletics_technical - hurdles_steeplechase
1,26.0,180.0,78.0,88,watercraft_racing - canoeing_kayaking
